aqiMajorPollutant,airQualityLevel,observationDateTime,deviceStatus,airQualityIndex,id,co.avgOverTime,pm10.avgOverTime,pm2p5.avgOverTime,so2.avgOverTime,airTemperature.avgOverTime,o3.avgOverTime,atmosphericPressure.avgOverTime,uv.avgOverTime,illuminance.avgOverTime,relativeHumidity.avgOverTime,co2.avgOverTime,ambientNoise.avgOverTime,no2.avgOverTime
PM2.5,VERY_POOR,2022-01-01 20:01:18+05:30,ACTIVE,338,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3c4ebd7e-00e2-3881-ca79-281a1ba5bc22,3.47,254.08,158.38,8.8,24.84,43.47,0.94,0.0,0.22,66.23,456.06,65.46,78.61
NO2,SATISFACTORY,2022-01-01 20:01:19+05:30,ACTIVE,79,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3d3a569a-1a89-c3b6-671c-5675e4132c32,2.37,228.93,128.62,1.19,24.61,4.3,0.94,0.0,24.37,62.39,437.5,78.96,82.51
PM2.5,VERY_POOR,2022-01-01 20:01:25+05:30,ACTIVE,349,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/6e5c898e-23ee-f77a-82f5-ebc4998f5f4a,2.37,243.77,162.98,5.59,26.03,44.63,0.94,0.0,9.87,62.18,193.29,75.65,87.7
PM2.5,MODERATE,2022-01-01 20:01:26+05:30,ACTIVE,173,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/145bacfd-da11-d35f-ed80-ce7475d9bf3d,2.88,100.44,60.56,8.1,26.61,0.0,0.94,0.0,3.37,61.26,0.0,71.71,92.54
CO,SATISFACTORY,2022-01-01 20:16:08+05:30,ACTIVE,76,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/12bd3b5b-a189-0d10-3a1f-20a0ba699d7f,4.88,116.99,65.47,7.41,23.91,15.32,0.94,0.0,6.85,67.87,0.0,81.96,82.39
PM2.5,VERY_POOR,2022-01-01 20:16:08+05:30,ACTIVE,304,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2353b250-df9a-4108-8e2c-240955969d7e,5.51,205.05,105.16,4.79,24.76,0.0,0.94,0.0,3.28,70.47,0.0,68.15,117.0
PM2.5,VERY_POOR,2022-01-01 20:16:10+05:30,ACTIVE,310,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/8cff12b2-b8be-1230-c5f6-ca96b4e4e441,0.99,142.65,97.66,1.11,22.97,14.62,0.94,0.0,1.33,73.2,535.04,76.31,57.15
NO2,MODERATE,2022-01-01 20:16:10+05:30,ACTIVE,103,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/02b868e6-59f7-9359-3ae3-6feaf0e6bd9f,2.5,153.26,89.94,8.67,25.0,11.7,0.93,0.0,5.21,62.94,103.61,77.44,94.64
PM2.5,POOR,2022-01-01 20:16:10+05:30,ACTIVE,243,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/0541f9dd-2787-d791-9340-c30da7750de7,3.51,87.0,54.0,0.27,24.28,2.83,0.94,0.0,3.99,69.28,0.0,62.49,134.74
PM2.5,VERY_POOR,2022-01-01 20:16:10+05:30,ACTIVE,360,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/184ba502-22a8-ad15-a8f1-c966cd3aa7a7,3.09,199.38,126.74,3.79,25.74,0.0,0.94,0.0,1.9,64.09,319.22,75.66,88.13
PM2.5,VERY_POOR,2022-01-01 20:16:10+05:30,ACTIVE,360,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/184ba502-22a8-ad15-a8f1-c966cd3aa7a7,3.09,199.38,126.74,3.79,25.74,0.0,0.94,0.0,1.9,64.09,319.22,75.66,88.13
CO,MODERATE,2022-01-01 20:16:10+05:30,ACTIVE,107,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/21ece4ba-0dcf-843a-16e0-35e0082277dd,6.73,116.86,58.64,11.99,25.1,1.46,0.94,0.0,5.34,67.36,536.98,76.93,96.83
PM2.5,VERY_POOR,2022-01-01 20:16:11+05:30,ACTIVE,307,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d90466f6-a69a-6989-e54a-eddb4dc47fd4,5.66,190.94,124.18,9.98,24.98,27.56,0.94,0.0,7.63,70.58,4.34,85.83,76.79
PM2.5,VERY_POOR,2022-01-01 20:16:11+05:30,ACTIVE,307,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d90466f6-a69a-6989-e54a-eddb4dc47fd4,5.66,190.94,124.18,9.98,24.98,27.56,0.94,0.0,7.63,70.58,4.34,85.83,76.79
PM2.5,VERY_POOR,2022-01-01 20:16:11+05:30,ACTIVE,307,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d90466f6-a69a-6989-e54a-eddb4dc47fd4,5.66,190.94,124.18,9.98,24.98,27.56,0.94,0.0,7.63,70.58,4.34,85.83,76.79
