aqiMajorPollutant,airQualityLevel,observationDateTime,deviceStatus,airQualityIndex,id,co.avgOverTime,pm10.avgOverTime,pm2p5.avgOverTime,so2.avgOverTime,airTemperature.avgOverTime,o3.avgOverTime,atmosphericPressure.avgOverTime,uv.avgOverTime,illuminance.avgOverTime,relativeHumidity.avgOverTime,co2.avgOverTime,ambientNoise.avgOverTime,no2.avgOverTime
CO,MODERATE,2022-01-02 02:46:16+05:30,ACTIVE,111,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b4b9e3b8-fcfa-08c2-a9c5-2093748a116c,2.58,133.08,91.33,0.84,21.35,1.01,0.94,0.0,1.58,81.49,273.18,73.85,27.28
CO,SATISFACTORY,2022-01-02 02:46:18+05:30,ACTIVE,96,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3d3a569a-1a89-c3b6-671c-5675e4132c32,0.59,103.59,67.66,0.0,19.85,1.1,0.94,0.0,19.25,76.2,381.43,63.61,53.97
PM2.5,VERY_POOR,2022-01-02 02:46:23+05:30,ACTIVE,374,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/6e5c898e-23ee-f77a-82f5-ebc4998f5f4a,1.04,320.04,219.89,3.74,21.35,22.65,0.94,0.0,4.83,75.98,108.74,68.58,68.78
PM2.5,MODERATE,2022-01-02 02:46:25+05:30,ACTIVE,148,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/145bacfd-da11-d35f-ed80-ce7475d9bf3d,1.34,140.03,102.01,4.63,21.09,0.06,0.94,0.0,1.67,79.22,1.13,72.8,63.34
PM2.5,VERY_POOR,2022-01-02 03:01:09+05:30,ACTIVE,345,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/184ba502-22a8-ad15-a8f1-c966cd3aa7a7,2.55,309.86,212.22,1.97,21.66,0.24,0.94,0.0,0.73,76.14,296.92,65.5,61.54
CO,MODERATE,2022-01-02 03:01:09+05:30,ACTIVE,108,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/02b868e6-59f7-9359-3ae3-6feaf0e6bd9f,1.6,169.67,113.86,5.68,20.82,8.14,0.93,0.0,1.66,76.91,46.5,64.34,78.77
PM2.5,POOR,2022-01-02 03:01:09+05:30,ACTIVE,296,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2353b250-df9a-4108-8e2c-240955969d7e,2.3,211.2,130.15,2.18,20.95,0.0,0.94,0.0,1.44,82.06,0.0,69.64,83.24
PM2.5,VERY_POOR,2022-01-02 03:01:09+05:30,ACTIVE,345,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/184ba502-22a8-ad15-a8f1-c966cd3aa7a7,2.55,309.86,212.22,1.97,21.66,0.24,0.94,0.0,0.73,76.14,296.92,65.5,61.54
PM2.5,POOR,2022-01-02 03:01:11+05:30,ACTIVE,297,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/8cff12b2-b8be-1230-c5f6-ca96b4e4e441,1.64,269.77,186.31,1.88,19.64,12.91,0.94,0.0,1.31,81.06,564.13,69.8,39.31
PM2.5,POOR,2022-01-02 03:01:11+05:30,ACTIVE,206,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/0541f9dd-2787-d791-9340-c30da7750de7,1.25,189.02,128.45,0.0,19.54,0.27,0.94,0.0,1.94,80.47,136.07,66.49,82.39
CO,MODERATE,2022-01-02 03:01:11+05:30,ACTIVE,107,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/0ede317b-62b5-86e2-de37-604271f37d73,2.45,53.29,37.91,0.0,20.01,9.86,0.94,0.0,1.33,87.38,831.17,71.42,21.4
CO,MODERATE,2022-01-02 03:01:11+05:30,ACTIVE,120,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f40c0b8e-248f-9f62-414e-7e2a7065d53e,1.5,35.84,24.38,0.0,19.48,11.79,0.95,0.0,6.65,83.0,124.51,59.86,44.65
CO,MODERATE,2022-01-02 03:01:11+05:30,ACTIVE,137,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/21ece4ba-0dcf-843a-16e0-35e0082277dd,2.34,87.77,59.62,2.86,21.97,9.9,0.94,0.0,3.06,77.3,497.75,76.1,52.66
PM2.5,VERY_POOR,2022-01-02 03:01:12+05:30,ACTIVE,361,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a1198ebc-db62-1c31-28c6-09d51441f153,1.68,269.58,188.65,1.27,21.08,32.17,0.94,0.0,4.38,82.81,231.85,78.0,16.9
PM2.5,VERY_POOR,2022-01-02 03:01:13+05:30,ACTIVE,300,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d90466f6-a69a-6989-e54a-eddb4dc47fd4,2.29,158.92,113.85,4.4,21.43,5.43,0.94,0.0,1.82,82.39,0.0,80.27,39.73
PM2.5,VERY_POOR,2022-01-02 03:01:13+05:30,ACTIVE,300,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d90466f6-a69a-6989-e54a-eddb4dc47fd4,2.29,158.92,113.85,4.4,21.43,5.43,0.94,0.0,1.82,82.39,0.0,80.27,39.73
PM2.5,VERY_POOR,2022-01-02 03:01:13+05:30,ACTIVE,300,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d90466f6-a69a-6989-e54a-eddb4dc47fd4,2.29,158.92,113.85,4.4,21.43,5.43,0.94,0.0,1.82,82.39,0.0,80.27,39.73
PM2.5,VERY_POOR,2022-01-02 03:01:13+05:30,ACTIVE,300,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d90466f6-a69a-6989-e54a-eddb4dc47fd4,2.29,158.92,113.85,4.4,21.43,5.43,0.94,0.0,1.82,82.39,0.0,80.27,39.73
PM2.5,VERY_POOR,2022-01-02 03:01:14+05:30,ACTIVE,324,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3c4ebd7e-00e2-3881-ca79-281a1ba5bc22,0.96,198.21,134.17,2.47,20.73,8.61,0.94,0.0,0.14,79.38,398.65,61.16,55.33
CO,MODERATE,2022-01-02 03:01:16+05:30,ACTIVE,111,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b4b9e3b8-fcfa-08c2-a9c5-2093748a116c,2.42,115.69,79.69,0.34,21.18,5.44,0.94,0.0,1.56,82.71,287.38,73.93,11.38
CO,SATISFACTORY,2022-01-02 03:01:16+05:30,ACTIVE,96,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3d3a569a-1a89-c3b6-671c-5675e4132c32,0.58,109.58,73.87,0.0,19.74,2.32,0.94,0.0,19.17,76.33,374.5,63.09,54.18
PM2.5,VERY_POOR,2022-01-02 03:01:16+05:30,ACTIVE,342,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2a072b6c-ec0b-d307-bdc6-86a8b585f5df,2.31,249.75,162.24,2.02,21.5,17.96,0.94,0.0,3.68,82.41,581.43,91.02,25.75
PM2.5,VERY_POOR,2022-01-02 03:01:21+05:30,ACTIVE,374,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/6e5c898e-23ee-f77a-82f5-ebc4998f5f4a,1.16,335.23,229.14,3.79,21.28,20.97,0.94,0.0,4.92,76.8,111.28,68.09,68.16
PM2.5,MODERATE,2022-01-02 03:01:22+05:30,ACTIVE,148,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/145bacfd-da11-d35f-ed80-ce7475d9bf3d,1.34,133.57,95.91,4.65,20.88,0.54,0.94,0.0,1.69,79.91,10.0,72.92,58.2
PM2.5,VERY_POOR,2022-01-02 03:16:08+05:30,ACTIVE,343,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/184ba502-22a8-ad15-a8f1-c966cd3aa7a7,2.42,308.99,212.55,1.74,21.42,1.46,0.94,0.0,0.72,77.16,291.04,64.49,55.26
PM2.5,VERY_POOR,2022-01-02 03:16:08+05:30,ACTIVE,343,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/184ba502-22a8-ad15-a8f1-c966cd3aa7a7,2.42,308.99,212.55,1.74,21.42,1.46,0.94,0.0,0.72,77.16,291.04,64.49,55.26
PM2.5,MODERATE,2022-01-02 03:16:08+05:30,ACTIVE,114,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/02b868e6-59f7-9359-3ae3-6feaf0e6bd9f,1.52,154.37,106.43,5.52,20.71,8.6,0.93,0.0,1.65,77.6,31.47,64.92,78.26
PM2.5,POOR,2022-01-02 03:16:08+05:30,ACTIVE,288,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2353b250-df9a-4108-8e2c-240955969d7e,2.12,199.73,123.28,2.14,20.9,0.0,0.94,0.0,1.46,82.38,0.0,70.63,77.77
PM2.5,POOR,2022-01-02 03:16:09+05:30,ACTIVE,293,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/8cff12b2-b8be-1230-c5f6-ca96b4e4e441,1.45,249.76,174.36,1.39,19.58,13.34,0.94,0.0,1.3,81.28,549.35,70.68,40.5
CO,MODERATE,2022-01-02 03:16:09+05:30,ACTIVE,116,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f40c0b8e-248f-9f62-414e-7e2a7065d53e,1.31,33.98,23.41,0.0,19.33,10.46,0.95,0.0,6.62,83.28,118.12,59.87,44.61
CO,MODERATE,2022-01-02 03:16:10+05:30,ACTIVE,108,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/0ede317b-62b5-86e2-de37-604271f37d73,2.26,42.56,30.56,0.0,19.8,10.69,0.94,0.0,1.39,87.66,849.54,70.68,25.35
CO,MODERATE,2022-01-02 03:16:10+05:30,ACTIVE,134,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/21ece4ba-0dcf-843a-16e0-35e0082277dd,2.4,92.0,60.76,2.9,21.89,10.28,0.94,0.0,3.05,77.68,504.93,75.0,52.85
PM2.5,POOR,2022-01-02 03:16:11+05:30,ACTIVE,205,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/0541f9dd-2787-d791-9340-c30da7750de7,1.13,181.24,126.4,0.0,19.43,0.59,0.94,0.0,1.88,80.91,134.79,66.59,81.09
PM2.5,VERY_POOR,2022-01-02 03:16:11+05:30,ACTIVE,358,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a1198ebc-db62-1c31-28c6-09d51441f153,1.54,277.66,196.35,1.04,21.03,33.07,0.94,0.0,4.53,82.86,229.06,79.55,14.87
PM2.5,POOR,2022-01-02 03:16:12+05:30,ACTIVE,295,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d90466f6-a69a-6989-e54a-eddb4dc47fd4,2.21,158.21,113.34,4.25,21.38,5.85,0.94,0.0,1.83,82.56,0.0,80.09,39.53
PM2.5,POOR,2022-01-02 03:16:12+05:30,ACTIVE,295,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d90466f6-a69a-6989-e54a-eddb4dc47fd4,2.21,158.21,113.34,4.25,21.38,5.85,0.94,0.0,1.83,82.56,0.0,80.09,39.53
PM2.5,POOR,2022-01-02 03:16:12+05:30,ACTIVE,295,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d90466f6-a69a-6989-e54a-eddb4dc47fd4,2.21,158.21,113.34,4.25,21.38,5.85,0.94,0.0,1.83,82.56,0.0,80.09,39.53
PM2.5,POOR,2022-01-02 03:16:12+05:30,ACTIVE,295,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d90466f6-a69a-6989-e54a-eddb4dc47fd4,2.21,158.21,113.34,4.25,21.38,5.85,0.94,0.0,1.83,82.56,0.0,80.09,39.53
PM2.5,VERY_POOR,2022-01-02 03:16:13+05:30,ACTIVE,320,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3c4ebd7e-00e2-3881-ca79-281a1ba5bc22,0.83,192.2,130.29,2.24,20.65,7.68,0.94,0.0,0.14,79.28,395.62,61.2,55.47
PM10,SATISFACTORY,2022-01-02 03:16:14+05:30,ACTIVE,95,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3d3a569a-1a89-c3b6-671c-5675e4132c32,0.59,116.89,78.83,0.0,19.61,2.67,0.94,0.0,19.19,76.43,367.37,63.74,55.76
PM2.5,VERY_POOR,2022-01-02 03:16:15+05:30,ACTIVE,339,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2a072b6c-ec0b-d307-bdc6-86a8b585f5df,2.12,244.39,157.19,1.72,21.43,17.45,0.94,0.0,3.66,82.62,574.68,90.91,26.17
CO,MODERATE,2022-01-02 03:16:16+05:30,ACTIVE,111,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b4b9e3b8-fcfa-08c2-a9c5-2093748a116c,2.34,107.85,74.69,0.0,21.08,8.33,0.94,0.0,1.56,83.9,307.09,72.91,0.12
PM2.5,VERY_POOR,2022-01-02 03:16:19+05:30,ACTIVE,374,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/6e5c898e-23ee-f77a-82f5-ebc4998f5f4a,1.06,325.49,220.61,3.69,21.18,19.5,0.94,0.0,4.89,77.32,110.94,67.52,66.1
PM2.5,MODERATE,2022-01-02 03:16:21+05:30,ACTIVE,146,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/145bacfd-da11-d35f-ed80-ce7475d9bf3d,1.22,122.39,88.06,4.33,20.71,2.65,0.94,0.0,1.72,80.22,9.78,73.15,53.3
PM2.5,VERY_POOR,2022-01-02 03:31:08+05:30,ACTIVE,343,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/184ba502-22a8-ad15-a8f1-c966cd3aa7a7,2.28,306.89,211.82,1.53,21.2,2.29,0.94,0.0,0.74,77.73,285.41,64.58,52.49
PM2.5,POOR,2022-01-02 03:31:08+05:30,ACTIVE,288,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2353b250-df9a-4108-8e2c-240955969d7e,1.77,187.71,120.59,1.9,20.93,0.0,0.94,0.0,1.43,81.87,0.0,70.2,73.11
PM2.5,MODERATE,2022-01-02 03:31:08+05:30,ACTIVE,114,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/02b868e6-59f7-9359-3ae3-6feaf0e6bd9f,1.39,150.45,104.25,5.35,20.82,8.52,0.93,0.0,1.7,77.01,28.54,65.59,79.21
PM2.5,VERY_POOR,2022-01-02 03:31:08+05:30,ACTIVE,343,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/184ba502-22a8-ad15-a8f1-c966cd3aa7a7,2.28,306.89,211.82,1.53,21.2,2.29,0.94,0.0,0.74,77.73,285.41,64.58,52.49
CO,MODERATE,2022-01-02 03:31:10+05:30,ACTIVE,134,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/21ece4ba-0dcf-843a-16e0-35e0082277dd,2.38,87.14,56.7,2.78,21.84,10.21,0.94,0.0,3.05,77.93,511.86,71.14,52.96
CO,MODERATE,2022-01-02 03:31:10+05:30,ACTIVE,108,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/0ede317b-62b5-86e2-de37-604271f37d73,2.08,35.91,26.34,0.0,19.59,10.48,0.94,0.0,1.44,87.69,852.67,70.84,26.36
PM2.5,POOR,2022-01-02 03:31:10+05:30,ACTIVE,205,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/0541f9dd-2787-d791-9340-c30da7750de7,1.05,178.56,124.78,0.0,19.29,0.43,0.94,0.0,1.8,81.33,132.95,67.42,78.63
PM2.5,POOR,2022-01-02 03:31:10+05:30,ACTIVE,293,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/8cff12b2-b8be-1230-c5f6-ca96b4e4e441,1.26,200.36,140.33,0.8,19.64,14.53,0.94,0.0,1.29,80.72,536.81,70.11,40.33
CO,MODERATE,2022-01-02 03:31:10+05:30,ACTIVE,116,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f40c0b8e-248f-9f62-414e-7e2a7065d53e,1.51,35.26,23.69,0.0,19.3,10.8,0.95,0.0,6.6,83.58,129.22,59.87,44.58
PM2.5,VERY_POOR,2022-01-02 03:31:11+05:30,ACTIVE,358,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a1198ebc-db62-1c31-28c6-09d51441f153,1.58,273.39,190.23,1.05,21.06,32.08,0.94,0.0,4.34,82.68,232.95,77.2,15.87
PM2.5,POOR,2022-01-02 03:31:12+05:30,ACTIVE,295,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d90466f6-a69a-6989-e54a-eddb4dc47fd4,2.05,159.73,114.59,4.01,21.34,5.08,0.94,0.0,1.82,82.44,0.0,80.03,38.65
PM2.5,POOR,2022-01-02 03:31:12+05:30,ACTIVE,295,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d90466f6-a69a-6989-e54a-eddb4dc47fd4,2.05,159.73,114.59,4.01,21.34,5.08,0.94,0.0,1.82,82.44,0.0,80.03,38.65
PM2.5,POOR,2022-01-02 03:31:12+05:30,ACTIVE,295,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d90466f6-a69a-6989-e54a-eddb4dc47fd4,2.05,159.73,114.59,4.01,21.34,5.08,0.94,0.0,1.82,82.44,0.0,80.03,38.65
PM2.5,POOR,2022-01-02 03:31:12+05:30,ACTIVE,295,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d90466f6-a69a-6989-e54a-eddb4dc47fd4,2.05,159.73,114.59,4.01,21.34,5.08,0.94,0.0,1.82,82.44,0.0,80.03,38.65
PM2.5,VERY_POOR,2022-01-02 03:31:13+05:30,ACTIVE,320,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3c4ebd7e-00e2-3881-ca79-281a1ba5bc22,0.8,192.18,130.62,2.17,20.61,7.7,0.94,0.0,0.15,79.18,396.14,61.13,54.72
PM10,SATISFACTORY,2022-01-02 03:31:15+05:30,ACTIVE,95,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3d3a569a-1a89-c3b6-671c-5675e4132c32,0.61,122.65,80.86,0.0,19.53,2.33,0.94,0.0,19.18,76.46,369.62,63.97,56.27
PM2.5,VERY_POOR,2022-01-02 03:31:15+05:30,ACTIVE,339,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2a072b6c-ec0b-d307-bdc6-86a8b585f5df,2.04,249.54,160.04,1.62,21.3,17.54,0.94,0.0,3.62,83.08,571.21,91.66,25.5
CO,MODERATE,2022-01-02 03:31:15+05:30,ACTIVE,111,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b4b9e3b8-fcfa-08c2-a9c5-2093748a116c,2.35,106.69,73.87,0.0,20.99,12.77,0.94,0.0,1.56,84.27,323.85,70.5,0.12
PM2.5,VERY_POOR,2022-01-02 03:31:21+05:30,ACTIVE,374,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/6e5c898e-23ee-f77a-82f5-ebc4998f5f4a,0.99,319.02,214.37,3.62,21.0,19.11,0.94,0.0,4.69,77.71,111.39,67.85,65.47
PM2.5,MODERATE,2022-01-02 03:31:23+05:30,ACTIVE,146,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/145bacfd-da11-d35f-ed80-ce7475d9bf3d,1.0,112.47,83.11,3.92,20.58,3.4,0.94,0.0,1.72,79.99,0.92,73.35,52.67
PM2.5,VERY_POOR,2022-01-02 03:46:08+05:30,ACTIVE,343,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/184ba502-22a8-ad15-a8f1-c966cd3aa7a7,2.12,294.58,205.67,1.21,21.02,2.59,0.94,0.0,0.72,77.84,281.99,65.84,51.59
PM2.5,MODERATE,2022-01-02 03:46:08+05:30,ACTIVE,114,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/02b868e6-59f7-9359-3ae3-6feaf0e6bd9f,1.4,160.89,109.87,5.42,20.83,7.9,0.93,0.0,1.8,76.94,36.54,65.46,78.36
PM2.5,VERY_POOR,2022-01-02 03:46:08+05:30,ACTIVE,343,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/184ba502-22a8-ad15-a8f1-c966cd3aa7a7,2.12,294.58,205.67,1.21,21.02,2.59,0.94,0.0,0.72,77.84,281.99,65.84,51.59
PM2.5,POOR,2022-01-02 03:46:08+05:30,ACTIVE,288,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2353b250-df9a-4108-8e2c-240955969d7e,1.5,196.27,124.83,1.55,20.91,0.0,0.94,0.0,1.38,81.03,0.0,69.5,73.85
CO,MODERATE,2022-01-02 03:46:10+05:30,ACTIVE,116,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f40c0b8e-248f-9f62-414e-7e2a7065d53e,1.54,33.91,23.18,0.0,19.34,8.53,0.95,0.0,6.6,83.78,135.65,59.88,44.58
CO,MODERATE,2022-01-02 03:46:10+05:30,ACTIVE,108,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/0ede317b-62b5-86e2-de37-604271f37d73,1.93,33.53,24.31,0.0,19.48,10.46,0.94,0.0,1.56,87.58,848.18,71.09,26.66
PM2.5,POOR,2022-01-02 03:46:10+05:30,ACTIVE,293,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/8cff12b2-b8be-1230-c5f6-ca96b4e4e441,1.15,202.93,140.77,0.5,19.66,16.64,0.94,0.0,1.27,80.11,536.86,68.94,37.92
PM2.5,POOR,2022-01-02 03:46:10+05:30,ACTIVE,205,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/0541f9dd-2787-d791-9340-c30da7750de7,1.05,161.06,113.05,0.0,19.17,0.08,0.94,0.0,1.77,81.67,132.4,67.09,77.79
CO,MODERATE,2022-01-02 03:46:10+05:30,ACTIVE,134,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/21ece4ba-0dcf-843a-16e0-35e0082277dd,2.26,82.28,53.3,2.54,21.76,9.15,0.94,0.0,3.05,78.29,513.03,69.85,52.95
PM2.5,POOR,2022-01-02 03:46:12+05:30,ACTIVE,295,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d90466f6-a69a-6989-e54a-eddb4dc47fd4,1.79,161.69,115.74,3.6,21.31,5.1,0.94,0.0,1.98,81.67,0.0,80.48,38.97
PM2.5,POOR,2022-01-02 03:46:12+05:30,ACTIVE,295,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d90466f6-a69a-6989-e54a-eddb4dc47fd4,1.79,161.69,115.74,3.6,21.31,5.1,0.94,0.0,1.98,81.67,0.0,80.48,38.97
PM2.5,VERY_POOR,2022-01-02 03:46:12+05:30,ACTIVE,358,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a1198ebc-db62-1c31-28c6-09d51441f153,1.64,283.02,196.36,1.1,21.04,31.83,0.94,0.0,4.23,83.04,239.27,73.58,16.1
PM2.5,POOR,2022-01-02 03:46:12+05:30,ACTIVE,295,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d90466f6-a69a-6989-e54a-eddb4dc47fd4,1.79,161.69,115.74,3.6,21.31,5.1,0.94,0.0,1.98,81.67,0.0,80.48,38.97
PM2.5,POOR,2022-01-02 03:46:12+05:30,ACTIVE,295,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d90466f6-a69a-6989-e54a-eddb4dc47fd4,1.79,161.69,115.74,3.6,21.31,5.1,0.94,0.0,1.98,81.67,0.0,80.48,38.97
PM2.5,VERY_POOR,2022-01-02 03:46:13+05:30,ACTIVE,320,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3c4ebd7e-00e2-3881-ca79-281a1ba5bc22,0.84,194.47,131.56,2.17,20.56,8.13,0.94,0.0,0.16,79.16,397.27,60.83,52.5
CO,MODERATE,2022-01-02 03:46:15+05:30,ACTIVE,111,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b4b9e3b8-fcfa-08c2-a9c5-2093748a116c,2.41,101.84,70.34,0.0,20.83,18.54,0.94,0.0,1.56,84.85,344.87,70.72,0.0
