route_id,trip_delay,license_plate,last_stop_arrival_time,trip_id,observationDateTime,trip_direction,vehicle_label,id,last_stop_id,actual_trip_start_time,location/type,location/coordinates/0,location/coordinates/1,speed
01U,,GJ05BX8723,,17529437,2022-01-01T10:35:23+05:30,UP,H48,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,2799,2022-01-01T10:31:12+05:30,Point,72.807875,21.198548,0
104D,194,GJ05BX3043,10:34:36,17533865,2022-01-01T10:35:26+05:30,DN,M04,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,4447,2022-01-01T10:27:25+05:30,Point,72.873442,21.150295,11
105U,521,GJ05BX3127,,17528419,2022-01-01T10:35:25+05:30,UP,M11,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,10,2022-01-01T10:22:03+05:30,Point,72.839833,21.20193,23
105D,200,GJ05BX3191,10:34:32,17528495,2022-01-01T10:35:22+05:30,DN,M17,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,4539,2022-01-01T10:27:54+05:30,Point,72.847747,21.14386,11
205GD,636,GJ05BX3273,10:32:41,17531330,2022-01-01T10:35:20+05:30,DN,M37,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,1009,2022-01-01T09:41:57+05:30,Point,72.815093,21.182112,30
504U,1038,GJ05BX3388,10:33:10,17527574,2022-01-01T10:35:20+05:30,UP,M46,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,2441,2022-01-01T10:22:30+05:30,Point,72.862274,21.171943,0
506U,831,GJ05BX3522,10:32:50,17528279,2022-01-01T10:35:23+05:30,UP,M61,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,2631,2022-01-01T10:06:39+05:30,Point,72.819024,21.166429,46
305D,585,GJ05BX3919,10:34:12,17532041,2022-01-01T10:35:27+05:30,DN,M72,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,4545,2022-01-01T10:19:34+05:30,Point,72.833991,21.137013,29
12D,70,GJ05BU8841,,17527327,2022-01-01T10:35:20+05:30,DN,P18,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,2039,2022-01-01T10:05:27+05:30,Point,72.829917,21.176355,0
12D,681,GJ05BU9162,10:30:41,17527307,2022-01-01T10:35:21+05:30,DN,P22,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,4054,2022-01-01T10:29:20+05:30,Point,72.900274,21.229942,0
12U,174,GJ05BV2549,10:31:10,17527076,2022-01-01T10:35:18+05:30,UP,P30,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,2038,2022-01-01T10:05:43+05:30,Point,72.8605,21.188883,19
12U,26,GJ05BV2776,10:34:04,17527082,2022-01-01T10:35:23+05:30,UP,P33,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,2048,2022-01-01T10:11:10+05:30,Point,72.834014,21.178234,0
12U,41,GJ05BV4520,10:34:49,17527184,2022-01-01T10:35:19+05:30,UP,P40,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,4013,2022-01-01T10:25:38+05:30,Point,72.78791,21.15699,36
12U,259,GJ05BX1291,10:34:58,17527179,2022-01-01T10:35:18+05:30,UP,P50,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,4043,2022-01-01T09:54:57+05:30,Point,72.869999,21.19504,0
12D,712,GJ05BX1314,10:32:34,17527213,2022-01-01T10:35:23+05:30,DN,P55,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,4045,2022-01-01T10:18:53+05:30,Point,72.878217,21.199263,0
12D,775,GJ05BX1427,10:32:33,17527368,2022-01-01T10:34:57+05:30,DN,P61,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,4049,2022-01-01T10:30:57+05:30,Point,72.8845,21.202228,53.3
104U,620,GJ05BX3480,10:33:44,17533970,2022-01-01T10:35:19+05:30,UP,M59,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,2443,2022-01-01T10:09:13+05:30,Point,72.859763,21.159638,0
305D,1028,GJ05BX3887,10:33:49,17532040,2022-01-01T10:35:19+05:30,DN,M70,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,4532,2022-01-01T10:01:06+05:30,Point,72.833515,21.150502,6
15CU,67,GJ05BU8836,10:30:26,17530880,2022-01-01T10:35:21+05:30,UP,P16,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,2068,2022-01-01T09:48:34+05:30,Point,72.848208,21.14517,32
12D,205,GJ05BV2468,,17527225,2022-01-01T10:35:17+05:30,DN,P26,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,4054,2022-01-01T10:31:37+05:30,Point,72.895774,21.223151,20
12U,136,GJ05BV2742,10:31:39,17527100,2022-01-01T10:35:20+05:30,UP,P32,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,2056,2022-01-01T10:20:10+05:30,Point,72.805725,21.167676,36
15CU,141,GJ05BV4449,,17530850,2022-01-01T10:35:18+05:30,UP,P39,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,2048,2022-01-01T10:20:18+05:30,Point,72.833917,21.178283,0
12U,295,GJ05BV5408,10:32:31,17527088,2022-01-01T10:35:27+05:30,UP,P44,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,4013,2022-01-01T10:26:23+05:30,Point,72.794794,21.159591,0
12D,366,GJ05BX1389,10:31:27,17527301,2022-01-01T10:35:20+05:30,DN,P52,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,4053,2022-01-01T10:30:39+05:30,Point,72.896291,21.216429,36
12D,421,GJ05BX1229,10:31:01,17527277,2022-01-01T10:35:46+05:30,DN,P57,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,4011,2022-01-01T09:48:01+05:30,Point,72.767973,21.148942,33.8
12U,615,GJ05BX1148,10:32:33,17527094,2022-01-01T10:35:22+05:30,UP,P63,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,4012,2022-01-01T10:20:46+05:30,Point,72.794769,21.159586,16
22D,295,GJ05BX1501,10:34:48,17529851,2022-01-01T10:35:28+05:30,DN,A01,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,4039,2022-01-01T10:10:36+05:30,Point,72.848894,21.253793,42
13U,142,GJ05BX1806,08:33:12,17526385,2022-01-01T10:35:31+05:30,UP,A06,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,2015,2022-01-01T06:01:24+05:30,Point,72.822174,21.23055,20
20U,98,GJ05BX1810,10:35:10,17529621,2022-01-01T10:35:29+05:30,UP,A07,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,4039,2022-01-01T10:32:59+05:30,Point,72.849718,21.25191,7
136D,187,GJ05BX1926,10:31:51,17533697,2022-01-01T10:35:31+05:30,DN,A10,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,4019,2022-01-01T10:20:30+05:30,Point,72.785403,21.167863,33
