uv/avgOverTime,o3/avgOverTime,pm2p5/avgOverTime,airQualityLevel,co2/avgOverTime,pm10/avgOverTime,co/avgOverTime,observationDateTime,deviceStatus,no2/avgOverTime,airTemperature/avgOverTime,illuminance/avgOverTime,ambientNoise/avgOverTime,aqiMajorPollutant,so2/avgOverTime,relativeHumidity/avgOverTime,id,atmosphericPressure/avgOverTime,airQualityIndex
0,0,69.44,POOR,7.29,113.02,5.95,2022-01-01T21:01:09+05:30,ACTIVE,101.05,25.1,5.54,81.81,PM2.5,4.71,65.4,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,230
0,0.03,83.01,POOR,35.64,127.78,5.49,2022-01-01T22:01:09+05:30,ACTIVE,93.38,24.42,4.3,80.68,PM2.5,4.29,68.24,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,224
0,0,69.4,POOR,10.3,111.43,5.1,2022-01-01T21:16:08+05:30,ACTIVE,94.74,24.96,4.74,81.82,PM2.5,3.95,66.21,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,224
0,0,72.72,POOR,14.06,112.3,4.48,2022-01-01T21:31:09+05:30,ACTIVE,83.5,24.79,4.05,81.18,PM2.5,3.63,66.9,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,224
0,0.03,83.7,POOR,35.81,129.62,5.35,2022-01-01T22:16:08+05:30,ACTIVE,89.74,24.27,4.39,81,PM2.5,3.96,68.84,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,218
0,0,79.96,POOR,25.66,122.85,5.18,2022-01-01T21:46:09+05:30,ACTIVE,87.46,24.6,3.83,80.34,PM2.5,4.1,67.55,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,224
0,0,67.13,POOR,0.64,109.03,5.87,2022-01-01T20:46:08+05:30,ACTIVE,95.1,25.24,5.15,81.52,PM2.5,4.74,64.49,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,230
0,0,60.28,POOR,0,99.75,5.65,2022-01-01T20:16:08+05:30,ACTIVE,95.35,25.64,5.75,82.55,PM2.5,4.76,62.63,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,230
0,0,63.67,POOR,0.1,104.97,5.76,2022-01-01T20:31:09+05:30,ACTIVE,94.73,25.43,5.35,81.97,PM2.5,4.64,63.55,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,230
0.02,5.99,40.73,POOR,0,71.57,1.44,2022-01-01T18:01:08+05:30,ACTIVE,45.94,29.99,617.51,83.02,PM2.5,1.38,51.36,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,252
0.01,2.51,41.98,POOR,0,71.64,2.21,2022-01-01T18:16:08+05:30,ACTIVE,55.39,29.36,331.61,83.05,PM2.5,1.98,52.77,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,242
0,0.17,53.84,POOR,0,89.91,5.38,2022-01-01T19:46:09+05:30,ACTIVE,85.97,26.15,7.21,83.06,PM2.5,4.26,60.62,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,235
0,1.12,53.49,POOR,0,86.83,3.88,2022-01-01T18:46:10+05:30,ACTIVE,62.73,28,38.72,82.93,PM2.5,2.95,55.71,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,242
0,0.99,44.78,POOR,0,74.72,3.24,2022-01-01T18:31:09+05:30,ACTIVE,58.82,28.68,136.32,82.82,PM2.5,2.71,54.22,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,242
0,0.88,58,POOR,0,98.33,4.79,2022-01-01T19:01:09+05:30,ACTIVE,70.17,27.41,9.5,82.94,PM2.5,3.75,57.14,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,235
0,0.76,51.81,POOR,0,89.71,4.47,2022-01-01T19:16:08+05:30,ACTIVE,69.33,26.92,6.1,82.5,PM2.5,3.83,58.39,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,235
0,0.67,51.34,POOR,0,83.34,4.45,2022-01-01T19:31:08+05:30,ACTIVE,74.45,26.5,6.26,82.87,PM2.5,3.75,59.51,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,235
0,0,56.65,POOR,0,95.71,5.6,2022-01-01T20:01:10+05:30,ACTIVE,92.14,25.86,6.33,82.62,PM2.5,4.57,61.67,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,230
0.48,7.53,86.54,VERY_POOR,0,123.9,1.56,2022-01-01T12:01:08+05:30,ACTIVE,48.21,28.21,2249.51,82.43,PM2.5,1.38,59.31,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,301
0.51,9.44,77.45,VERY_POOR,0,114.12,1.38,2022-01-01T12:16:08+05:30,ACTIVE,44.81,28.83,2362.68,82.24,PM2.5,1.27,57.79,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,300
0.54,10.65,72.7,VERY_POOR,0,107.64,1.24,2022-01-01T12:46:09+05:30,ACTIVE,42.22,29.88,2501.47,82.31,PM2.5,1.3,55.54,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,300
0.53,9.66,75.51,VERY_POOR,0,113.39,1.4,2022-01-01T12:31:09+05:30,ACTIVE,44.02,29.4,2478.01,82.19,PM2.5,1.35,56.66,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,300
0.47,6.25,86.97,VERY_POOR,0,122.76,1.67,2022-01-01T11:46:09+05:30,ACTIVE,48.8,27.36,2133.49,81.93,PM2.5,1.23,61.69,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,301
0.61,14.27,66.72,VERY_POOR,0,99.52,0.98,2022-01-01T13:01:09+05:30,ACTIVE,37.29,30.46,2556.36,82.6,PM2.5,1.06,54.23,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,300
0.64,16.79,57.6,POOR,0,88.77,0.94,2022-01-01T13:31:08+05:30,ACTIVE,35.63,32.08,2525.43,82.2,PM2.5,1.1,50.58,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,293
0.69,16.13,61.22,POOR,0,95.33,1,2022-01-01T13:16:09+05:30,ACTIVE,37.12,31.37,2600.49,82.46,PM2.5,1.2,52.34,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,293
0.18,15.92,39.05,POOR,0,66.54,1,2022-01-01T16:31:08+05:30,ACTIVE,31.01,33.07,2317.89,81.68,PM2.5,0.98,43.21,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,263
0.22,19.03,39.62,POOR,0,63.49,0.92,2022-01-01T16:16:08+05:30,ACTIVE,28.15,33.84,2567.23,81.78,PM2.5,0.82,42.43,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,263
0.14,17.12,36.98,POOR,0,65.95,0.79,2022-01-01T16:46:08+05:30,ACTIVE,26.2,32.49,2018.62,82.36,PM2.5,0.88,44.2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,263
0.1,15.61,34.54,POOR,0,64.03,0.53,2022-01-01T17:01:09+05:30,ACTIVE,25.07,32.08,1715.34,82.44,PM2.5,0.62,44.91,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,263
0.27,22.02,38.54,POOR,0,60.08,0.84,2022-01-01T16:01:09+05:30,ACTIVE,23.46,34.57,2651.16,81.83,PM2.5,0.76,41.65,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,272
0.05,11.21,37.89,POOR,0,66.93,0.59,2022-01-01T17:31:09+05:30,ACTIVE,29.84,31.02,1296.46,82.94,PM2.5,0.83,48.17,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,252
0.07,12.69,35.7,POOR,0,66.31,0.47,2022-01-01T17:16:08+05:30,ACTIVE,28.46,31.55,1527.1,82.68,PM2.5,0.63,46.16,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,252
0.03,9.9,39.3,POOR,0,68.98,1,2022-01-01T17:46:08+05:30,ACTIVE,34.28,30.54,958.12,82.83,PM2.5,1.17,49.9,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,252
0.38,25.29,39.22,POOR,0,63.17,0.53,2022-01-01T15:31:08+05:30,ACTIVE,14.83,35.81,2913.59,82.14,PM2.5,0.46,40.74,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,272
0.67,17.56,51.76,POOR,0,84.37,0.89,2022-01-01T14:01:10+05:30,ACTIVE,30.21,33.37,2976.22,82.38,PM2.5,0.88,47.35,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,293
0.52,18.42,46.54,POOR,0,75.86,1.29,2022-01-01T14:31:08+05:30,ACTIVE,33.65,34.11,3003.44,82.43,PM2.5,1.41,45.01,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,283
0.49,18,44.34,POOR,0,84.93,0.99,2022-01-01T15:01:09+05:30,ACTIVE,29.07,35.25,3046.55,81.64,PM2.5,1.07,42.93,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,283
0.31,21.89,38.09,POOR,0,58.04,0.82,2022-01-01T15:46:08+05:30,ACTIVE,20.2,35.24,2718.05,81.93,PM2.5,0.74,40.94,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,272
0.5,18.83,47.03,POOR,0,89.18,1.08,2022-01-01T14:46:08+05:30,ACTIVE,31.75,34.58,2969.34,81.86,PM2.5,1.23,44.22,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,283
0.6,16.75,47.45,POOR,0,76.43,1.19,2022-01-01T14:16:09+05:30,ACTIVE,33.79,33.91,3123.24,82.49,PM2.5,1.28,45.73,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,283
0.44,22.67,41.47,POOR,0,66.99,0.63,2022-01-01T15:16:09+05:30,ACTIVE,18.86,35.83,2987.8,81.63,PM2.5,0.56,41.49,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,272
0.64,17.77,55.45,POOR,0,89.74,0.88,2022-01-01T13:46:08+05:30,ACTIVE,31.19,32.57,2675.93,82.49,PM2.5,0.85,49.19,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,293
0.11,1.41,111.22,VERY_POOR,0,156.38,1.92,2022-01-01T10:01:08+05:30,ACTIVE,51.92,22,1425.95,81.46,PM2.5,1,74.62,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,303
0.17,1.96,93.74,VERY_POOR,0,148.79,2.02,2022-01-01T10:31:09+05:30,ACTIVE,46.45,23.4,1582.44,81.8,PM2.5,1.19,71.3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,302
0.2,3.65,88.14,VERY_POOR,0,132.43,1.77,2022-01-01T10:46:08+05:30,ACTIVE,46.62,24.03,1697.87,81.96,PM2.5,1.16,69.65,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,302
0.14,2.2,100.07,VERY_POOR,0,149.89,1.92,2022-01-01T10:16:08+05:30,ACTIVE,44.42,22.69,1498.4,81.72,PM2.5,0.95,72.97,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,302
0.24,6.19,81.59,VERY_POOR,0,114.94,1.4,2022-01-01T11:01:10+05:30,ACTIVE,43.8,24.67,1820.07,81.69,PM2.5,0.98,68.07,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,302
0.42,5.75,84.28,VERY_POOR,0,120.52,1.67,2022-01-01T11:31:08+05:30,ACTIVE,49.13,26.3,2046.5,81.83,PM2.5,1.15,64.32,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,301
0.32,6.6,82.22,VERY_POOR,0,116.71,1.46,2022-01-01T11:16:08+05:30,ACTIVE,46.42,25.39,1960.59,82.1,PM2.5,1.09,66.42,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,301
0,0,85.02,POOR,11.88,129.35,3.66,2022-01-01T23:01:08+05:30,ACTIVE,73.77,23.87,3.46,79.88,PM2.5,2.45,69.78,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,218
0,0,86.18,POOR,16.99,130.49,4.09,2022-01-01T22:46:08+05:30,ACTIVE,75.44,24,3.65,79.91,PM2.5,2.81,69.7,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,218
0,0,86.55,POOR,5.88,133.73,3.14,2022-01-01T23:46:09+05:30,ACTIVE,71.02,23.47,2.53,78.61,PM2.5,1.94,69.97,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,215
0,0,85.31,POOR,25.11,130.75,4.74,2022-01-01T22:31:09+05:30,ACTIVE,78.78,24.14,3.66,80.17,PM2.5,3.31,69.36,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,218
0,0,84.72,POOR,4.99,130.38,3.25,2022-01-01T23:31:08+05:30,ACTIVE,73.07,23.6,2.95,78.98,PM2.5,2,69.92,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,215
0,0,85.43,POOR,8.4,130.53,3.43,2022-01-01T23:16:08+05:30,ACTIVE,74.29,23.73,3.17,79.52,PM2.5,2.17,69.87,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,215
0,31.33,,VERY_POOR,0,,7.64,2022-01-01T21:01:13+05:30,ACTIVE,65.05,26.15,5.81,78.49,PM2.5,0,62.84,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/169af06f-bfee-3513-56e5-b9ddd7b863f0,0.94,338
0,34.51,,VERY_POOR,0,,8.4,2022-01-01T22:01:12+05:30,ACTIVE,51.35,25.5,2.4,77.28,PM2.5,0,65.73,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/169af06f-bfee-3513-56e5-b9ddd7b863f0,0.94,340
0,31.23,,VERY_POOR,0,,6.71,2022-01-01T21:16:11+05:30,ACTIVE,64.07,26.04,4.62,78.11,PM2.5,0,63,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/169af06f-bfee-3513-56e5-b9ddd7b863f0,0.94,340
0,31.6,,VERY_POOR,0,,7.28,2022-01-01T21:31:12+05:30,ACTIVE,63.86,25.88,3.02,77.5,PM2.5,0,63.47,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/169af06f-bfee-3513-56e5-b9ddd7b863f0,0.94,340
0,39.19,,VERY_POOR,0,,9.37,2022-01-01T22:16:11+05:30,ACTIVE,47.76,25.27,2.34,77.4,PM2.5,0,67.35,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/169af06f-bfee-3513-56e5-b9ddd7b863f0,0.94,341
0,30.14,,VERY_POOR,0,,7.54,2022-01-01T21:46:12+05:30,ACTIVE,63.09,25.71,2.54,77.47,PM2.5,0,64.08,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/169af06f-bfee-3513-56e5-b9ddd7b863f0,0.94,340
0,32.08,,VERY_POOR,0,,8.55,2022-01-01T20:46:12+05:30,ACTIVE,66.14,26.23,5.98,78.25,PM2.5,0,62.51,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/169af06f-bfee-3513-56e5-b9ddd7b863f0,0.94,338
0,30.55,,VERY_POOR,0,,9.68,2022-01-01T20:16:11+05:30,ACTIVE,71.02,26.5,6.07,79.1,PM2.5,0,61.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/169af06f-bfee-3513-56e5-b9ddd7b863f0,0.94,338
0,31.53,,VERY_POOR,0,,8.67,2022-01-01T20:31:12+05:30,ACTIVE,67.63,26.35,6.14,78.45,PM2.5,0,62.03,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/169af06f-bfee-3513-56e5-b9ddd7b863f0,0.94,338
0.01,26.51,,VERY_POOR,0,,9.46,2022-01-01T18:01:12+05:30,ACTIVE,74.94,29.47,198.13,80.65,PM2.5,0,51.82,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/169af06f-bfee-3513-56e5-b9ddd7b863f0,0.94,331
0,25.92,,VERY_POOR,0,,10.11,2022-01-01T18:16:11+05:30,ACTIVE,76.44,29.13,96.35,80.31,PM2.5,0,52.93,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/169af06f-bfee-3513-56e5-b9ddd7b863f0,0.94,334
0,32.96,,VERY_POOR,0,,7.24,2022-01-01T19:46:12+05:30,ACTIVE,63.84,26.85,5.93,78.88,PM2.5,0,59.82,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/169af06f-bfee-3513-56e5-b9ddd7b863f0,0.94,336
0,28.71,,VERY_POOR,0,,10.37,2022-01-01T18:46:13+05:30,ACTIVE,73.02,28.31,15.45,78.99,PM2.5,0,55.48,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/169af06f-bfee-3513-56e5-b9ddd7b863f0,0.94,334
0,26.93,,VERY_POOR,0,,10.62,2022-01-01T18:31:13+05:30,ACTIVE,74.63,28.73,38.96,79.26,PM2.5,0,54.06,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/169af06f-bfee-3513-56e5-b9ddd7b863f0,0.94,334
0,28.81,,VERY_POOR,0,,9.13,2022-01-01T19:01:12+05:30,ACTIVE,69.82,27.96,7.07,79.55,PM2.5,0,56.49,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/169af06f-bfee-3513-56e5-b9ddd7b863f0,0.94,336
0,29.41,,VERY_POOR,0,,8.2,2022-01-01T19:16:12+05:30,ACTIVE,65.19,27.6,6.38,80.08,PM2.5,0,57.57,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/169af06f-bfee-3513-56e5-b9ddd7b863f0,0.94,336
0,31.4,,VERY_POOR,0,,7.6,2022-01-01T19:31:11+05:30,ACTIVE,62.76,27.21,6.28,79.29,PM2.5,0,58.78,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/169af06f-bfee-3513-56e5-b9ddd7b863f0,0.94,336
0,32.19,,VERY_POOR,0,,9.43,2022-01-01T20:01:14+05:30,ACTIVE,69.32,26.62,6.03,79.27,PM2.5,0,60.81,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/169af06f-bfee-3513-56e5-b9ddd7b863f0,0.94,338
0.22,30.25,,VERY_POOR,0,,3.26,2022-01-01T12:01:12+05:30,ACTIVE,51.23,27.36,1620.36,79.36,PM2.5,0,56.11,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/169af06f-bfee-3513-56e5-b9ddd7b863f0,0.94,323
0.22,30.6,,VERY_POOR,0,,3.21,2022-01-01T12:16:11+05:30,ACTIVE,50.75,28.15,1556.67,80.34,PM2.5,0,54.62,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/169af06f-bfee-3513-56e5-b9ddd7b863f0,0.94,324
0.16,36.64,,VERY_POOR,0,,2.58,2022-01-01T12:46:12+05:30,ACTIVE,44.03,29.03,1389.54,78.64,PM2.5,0,53.11,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/169af06f-bfee-3513-56e5-b9ddd7b863f0,0.94,324
0.19,30.06,,VERY_POOR,0,,2.98,2022-01-01T12:31:12+05:30,ACTIVE,51.58,28.81,1400.91,80.17,PM2.5,0,53.51,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/169af06f-bfee-3513-56e5-b9ddd7b863f0,0.94,324
0.21,30.51,,VERY_POOR,0,,3.14,2022-01-01T11:46:12+05:30,ACTIVE,52.97,26.79,1536.08,79.05,PM2.5,0,57.22,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/169af06f-bfee-3513-56e5-b9ddd7b863f0,0.94,323
0.16,39.81,,VERY_POOR,0,,2.4,2022-01-01T13:01:12+05:30,ACTIVE,39.79,29.05,1593.74,78.39,PM2.5,0,52.98,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/169af06f-bfee-3513-56e5-b9ddd7b863f0,0.94,324
0.14,42.56,,VERY_POOR,0,,3.16,2022-01-01T13:31:12+05:30,ACTIVE,42.64,29.47,1838.18,80.34,PM2.5,0,51.89,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/169af06f-bfee-3513-56e5-b9ddd7b863f0,0.94,325
0.15,42.53,,VERY_POOR,0,,2.71,2022-01-01T13:16:13+05:30,ACTIVE,39.24,29.22,1781.18,78.55,PM2.5,0,52.44,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/169af06f-bfee-3513-56e5-b9ddd7b863f0,0.94,325
0.04,34.37,,VERY_POOR,0,,4.68,2022-01-01T16:31:12+05:30,ACTIVE,56.72,30.52,1156.22,81.15,PM2.5,0,50.01,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/169af06f-bfee-3513-56e5-b9ddd7b863f0,0.94,330
